province_name,prov_id,health_region,temp_region,sub_region_2,climate_id,landarea,pop,pwpd,pop80,anndeath,house
Quebec,QC,Bas-Saint-Laurent,POINTE-AU-PERE (INRS),Rimouski-Neigette,7056068,61506.0625,198886.4531,1445.484232,11860,,2.1
Quebec,QC,Capitale-Nationale,QUEBEC INTL A,Quebec,7016293,31602,690771.1875,4247.814925,37055,,2.1
Quebec,QC,Chaudière-Appalaches,BEAUPORT,Levis,7010565,24671.5,429844,1668.131136,20435,,2.3
Quebec,QC,Côte-Nord,SEPT-ILES,Sept-Rivières—Caniapiscau,7047914,636646.875,69112.34375,2112.748144,3715,,2.3
Quebec,QC,Estrie,SHERBROOKE,Sherbrooke,7028123,14891.4375,484128.5625,2015.04439,23260,,2.2
Quebec,QC,Gaspésie-Îles-de-la-Madeleine,GASPE A,La Côte-de-Gaspé Regional County Municipality,7052602,83318.875,88161.8125,825.6033529,5385,,2.2
Quebec,QC,Lanaudière,L'ASSOMPTION,L'Assomption Regional County Municipality,7014160,13403.9375,448304.25,2447.084684,17365,,2.4
Quebec,QC,Laurentides,MONTREAL MIRABEL INTL A,Les Laurentides Regional County Municipality,7034900,31442.3125,565426.75,2487.749297,21110,,2.3
Quebec,QC,Laval,MCTAVISH,Laval,7024745,606.9375,426466.625,5098.611672,21395,,2.6
Quebec,QC,Mauricie,TROIS RIVIERES A,Shawinigan,7018561,57080.3125,522316.2188,1979.906262,28690,,2.1
Quebec,QC,Montérégie,MONTREAL/ST-HUBERT,La Vallée-du-Richelieu Regional County Municipality,7027329,18932.0625,1346772.25,3256.855463,54570,,2.4
Quebec,QC,Montréal,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,Montreal,702S006,1505.1875,1748232.625,10537.01289,98800,,2.2
Quebec,QC,Nord-du-Québec,CHIBOUGAMAU CHAPAIS A,Nord-du-Québec,7091409,394614.9375,15294.43555,1837.45833,375,,2.3
Quebec,QC,Nunavik,AKULIVIK A,Nord-du-Québec,7100072,527968.8125,9991.047852,2369.552058,55,,3.6
Quebec,QC,Outaouais,OTTAWA GATINEAU A,Gatineau,7032685,46015.4375,402967.6875,3059.083193,12355,,2.3
Quebec,QC,Saguenay,JONQUIERE,Le Fjord-du-Saguenay Regional County Municipality,7063370,196502.125,279687.6563,1759.002534,13915,,2.2
Quebec,QC,Terres-Cries-de-la-Baie-James,EASTMAIN RIVER A,Nord-du-Québec,7092306,263180.875,17649.82422,1620.93943,165,,4.3
Saskatchewan,SK,Central,YORKTON,Division No. 9 - Yorkton,4019073,109171.1875,101399.2188,992.1274073,,,
Saskatchewan,SK,Far North,LA RONGE A,Division No. 18 - La Ronge,4064155,425561.9375,37219.38281,1737.547566,,,
Saskatchewan,SK,North,PRINCE ALBERT A,Division No. 15 - Prince Albert,4056241,108702.125,199531.2656,1618.843799,,,
Saskatchewan,SK,Regina,REGINA INTL A,Division No. 6 - Regina,4016566,35356,276154.5313,3013.506953,11430,,2.4
Saskatchewan,SK,Saskatoon,SASKATOON INTL A,Division No. 11 - Saskatoon,4057152,47509.5,342714.5625,3303.699101,14195,,2.5
Saskatchewan,SK,South,MOOSE JAW A,Division No. 7 - Moose Jaw,4015320,66758,158491.375,1393.450918,,,
Yukon,YT,Yukon,WHITEHORSE A,Yukon,2101303,1208176.25,37893.23828,1870.11771,675,,2.3
