date,CA-AB,CA-BC,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-NU,CA-ON,CA-PE,CA-QC,CA-SK,CA-YT
2020-03-12,6.976976329,26.02948861,26.29783386,26.83452434,0,0,0,0,12.07553595,0,6.171940599,15.83236936,0
2020-03-13,35.30952381,17.6547619,17.6547619,0,0,0,0,0,17.6547619,0,11.76984127,41.19444444,588.4920635
2020-03-14,6.173297297,10.28882883,5.879330759,0,0,0,7.496146718,0,10.8767619,0,0,14.6983269,0
2020-03-15,12.86709066,8.325764548,25.22958954,0,0,0,7.821172757,0,16.6515291,0,4.036734326,15.64234551,0
2020-03-16,39.23906165,18.44235897,11.77171849,23.15104637,0,0,15.69562466,0,15.69562466,0,20.40431206,0,0
2020-03-17,19.10285714,21.22539683,0,46.69587302,37.14444444,0,31.83809524,0,16.98031746,106.1269841,7.428888889,14.85777778,0
2020-03-18,24.8922251,21.3817831,15.63742346,31.9131091,0,0,20.42438982,0,17.23307891,0,12.76524364,19.14786546,0
2020-03-19,36.18377778,48.50165957,76.98676123,38.49338061,0,0,26.17549882,0,36.18377778,0,6.158940898,0,0
2020-03-20,27.37332418,15.48390054,11.05992896,20.7373668,0,0,14.65440587,0,27.6498224,0,7.188953824,27.09682595,0
2020-03-21,32.99388889,40.40068027,0,21.54702948,0,0,28.28047619,0,24.24040816,0,16.16027211,67.33446712,0
2020-03-22,57.9820477,200.8663795,155.3090563,207.0787418,0,0,194.6540173,0,122.1764577,0,8.283149672,64.19440996,0
2020-03-23,53.59461721,36.1181116,0,25.63220823,116.5100374,0,17.47650561,0,45.43891459,0,8.155702619,51.26441646,0
2020-03-24,32.21620354,42.3583417,59.65963619,23.26725811,34.60258899,0,30.42641446,0,36.98897444,0,3.579578172,0,0
2020-03-25,19.24925214,35.74861111,32.99871795,0,24.74903846,0,24.74903846,0,27.49893162,0,13.74946581,21.9991453,274.9893162
2020-03-26,36.51674208,30.67406335,0,24.46621719,0,0,0,0,23.73588235,0,6.207846154,31.03923077,0
2020-03-27,25.55509547,39.18447972,10.22203819,0,0,0,64.73957519,0,22.99958592,85.18365156,11.92571122,40.03631623,0
2020-03-28,61.54364732,70.55003474,150.1064569,58.54151819,0,0,73.55216387,0,63.04471189,0,4.503193707,109.5777135,0
2020-03-29,38.97185185,65.765,36.53611111,36.53611111,51.15055556,0,121.787037,0,58.45777778,0,14.61444444,0,0
2020-03-30,26.20416605,30.28036966,10.48166642,58.23148012,29.69805486,0,40.17972128,0,35.52120287,0,8.152407216,25.62185125,0
2020-03-31,33.53333333,41.91666667,41.91666667,16.76666667,0,0,41.91666667,838.3333333,41.91666667,0,8.383333333,16.76666667,0
2020-04-01,32.80827523,65.61655047,23.92270069,42.37735551,32.80827523,0,58.09798739,0,60.14850459,0,12.98660895,68.3505734,0
2020-04-02,28.77421537,59.88147523,51.32697876,75.43510515,0,0,75.43510515,0,42.7724823,77.76814964,12.44290394,37.32871183,0
