province_name,prov_id,health_region,hr_uid,temp_region,temp_region_alt,temp_region_alt2,sub_region_2,climate_id,climate_id_alt,climate_id_alt2,landarea,total_pop,pwpd,pwpd_250m,pwpd_1km,gamma_250m,gamma_1km,pop_sparsity,pop80,frac80,house,anndeath,anndeath_2020extrap,anndeath_old1997,prov_pop,geo_code
Ontario,ON,Kingston Frontenac Lennox & Addington,3541,KINGSTON CLIMATE,KINGSTON A,GRENADIER ISLAND,Frontenac County,6104142,6104152,6103024,7198,198956,2692.226807,2692.226807,1468.187511,0.392892093,0.448032699,0.392892093,10090,0.050714739,2.3,1917,1917,1480,14689075,CA-ON
Ontario,ON,Lambton,3542,SARNIA,SARNIA CLIMATE,WINDSOR RIVERSIDE,Lambton County,6127510,6127519,6139520,2966,110999,1965.378052,1965.378052,1266.909719,0.367876895,0.442204863,0.367876895,7135,0.064279686,2.3,1358,1358,1128,14689075,CA-ON
Ontario,ON,Leeds Grenville and Lanark,3543,BROCKVILLE CLIMATE,,,Leeds and Grenville United Counties,6100970,,,6740,151272,1284.338379,1284.338379,611.1872875,0.349228164,0.375268636,0.349228164,9220,0.060949699,2.3,1750,1750,1546,14689075,CA-ON
Ontario,ON,Middlesex-London,3544,LONDON A,,,Middlesex County,6144473,,,3336,463905,3666.365723,3666.365723,2314.988225,0.300596992,0.346611907,0.300596992,17215,0.037108868,2.4,3751,3751,2979,14689075,CA-ON
Ontario,ON,Niagara,3546,PORT WELLER (AUT),VINELAND STATION RCS,ST CATHARINES A,Regional Municipality of Niagara,6136699,6139148,6137304,1892,432804,2466.237793,2466.237793,1608.426883,0.230471127,0.258706331,0.230471127,26625,0.061517476,2.4,4294,4294,3786,14689075,CA-ON
Ontario,ON,North Bay Parry Sound,3547,NORTH BAY A,NORTH BAY AIRPORT,SUDBURY CLIMATE,Nipissing District,6085680,6085695,6068145,19018,128386,1638.452637,1638.452637,916.4020067,0.434972913,0.498625505,0.434972913,6655,0.051835924,2.3,1370,1370,862,14689075,CA-ON
Ontario,ON,Northwestern,3549,KENORA A,,,Kenora District,6034076,,,204607,69072,1080.921143,1080.921143,438.7065687,0.538049504,0.585002923,0.538049504,3070,0.044446516,2.5,785,785,681,14689075,CA-ON
Ontario,ON,Ottawa,3551,OTTAWA CDA RCS,OTTAWA CDA,OTTAWA INTL A,Ottawa Division,6105978,6105976,6106001,2892,967506,5482.751465,5482.751465,3200.195657,0.260336252,0.28329815,0.260336252,37535,0.038795628,2.5,6037,6037,4497,14689075,CA-ON
Ontario,ON,Peel,3553,TORONTO INTL A,TORONTO CITY,TORONTO,Regional Municipality of Peel,6158731,6158355,6158350,1264,1452109,8117.645508,8117.645508,4800.201394,0.197226892,0.20118182,0.197226892,39490,0.027194933,3.2,6429,6429,3617,14689075,CA-ON
Ontario,ON,Peterborough,3555,PETERBOROUGH A,PETERBOROUGH TRENT U,TAPLEY,Peterborough County,6166415,6166456,6168525,4213,139768,1953.271973,1953.271973,1219.525048,0.366542646,0.431771048,0.366542646,8685,0.062138763,2.3,1380,1380,1278,14689075,CA-ON
Ontario,ON,Porcupine,3556,TIMMINS CLIMATE,TIMMINS A,KIRKLAND LAKE CS,Cochrane District,6078282,6078286,6074211,279906,81448,2126.965332,2126.965332,1150.587346,0.580937738,0.660479001,0.580937738,3385,0.041560427,2.4,864,864,717,14689075,CA-ON
Ontario,ON,Renfrew,3557,PEMBROKE CLIMATE,PETAWAWA HOFFMAN,PETAWAWA AWOS 2,Renfrew County,6106367,610FC98,6106396,16466,108272,1270.767578,1270.767578,682.0887833,0.42174258,0.477967183,0.42174258,5685,0.052506468,2.3,841,841,900,14689075,CA-ON
Ontario,ON,Simcoe Muskoka,3560,SHANTY BAY,BARRIE-ORO,BARRIE LANDFILL,Simcoe County,6117684,6117700,6110556,9805,517672,2209.349854,2209.349854,1223.822243,0.312125318,0.341681703,0.312125318,25220,0.048718104,2.5,4594,4594,3489,14689075,CA-ON
Ontario,ON,Southwestern,3575,WOODSTOCK,ST THOMAS WPCP,BRANTFORD AIRPORT,Elgin County,6149625,6137362,6140942,3974,201948,1896.939209,1896.939209,1126.595661,0.327285842,0.373944612,0.327285842,3690,0.018272049,2.5,1729,1729,1550,14689075,CA-ON
Ontario,ON,Sudbury,3561,SUDBURY CLIMATE,SUDBURY A,MONETVILLE 2,Greater Sudbury Division,6068145,6068153,6065252,51143,199751,1751.008789,1751.008789,956.6662367,0.448440246,0.507476583,0.448440246,7460,0.03730968,2.3,1939,1939,1606,14689075,CA-ON
Ontario,ON,Thunder Bay,3562,THUNDER BAY,THUNDER BAY CS,WELCOME ISLAND (AUT),Thunder Bay District,6048260,6048268,6049443,249931,146974,2030.269043,2030.269043,1309.72306,0.535923129,0.621778757,0.535923129,7620,0.051845872,2.3,1756,1756,1371,14689075,CA-ON
Ontario,ON,Timiskaming,3563,EARLTON A,EARLTON CLIMATE,KIRKLAND LAKE CS,Timiskaming District,6072223,6072230,6074211,15604,33640,1170.855591,1170.855591,556.0812576,0.50670767,0.575020922,0.50670767,1765,0.052466893,2.2,417,417,408,14689075,CA-ON
Ontario,ON,Toronto,3595,TORONTO CITY,TORONTO INTL A,TORONTO,Toronto Division,6158355,6158731,6158350,646,2771684,12289.38867,12289.38867,6919.886707,0.113869861,0.074001041,0.113869861,126635,0.04568883,2.4,16605,16605,17333,14689075,CA-ON
Ontario,ON,Waterloo,3565,KITCHENER/WATERLOO,GUELPH TURFGRASS,ROSEVILLE,Waterloo Regional Municipality,6144239,6143089,6147188,1385,544119,3947.831543,3947.831543,2504.740938,0.230624655,0.256478409,0.230624655,20125,0.036986373,2.6,3488,3488,2664,14689075,CA-ON
Ontario,ON,Wellington Dufferin Guelph,3566,GUELPH TURFGRASS,KITCHENER/WATERLOO,ROSEVILLE,Wellington County,6143089,6144239,6147188,4197,280513,2524.551025,2524.551025,1504.502893,0.326737601,0.374067895,0.326737601,11910,0.042457906,2.6,2130,2130,1570,14689075,CA-ON
Ontario,ON,Windsor-Essex,3568,WINDSOR RIVERSIDE,WINDSOR A,WINDSOR A,Essex County,6139520,6139530,6139527,1862,333846,2497.244873,2497.244873,1657.087696,0.255673393,0.295941103,0.255673393,18585,0.055669339,2.5,3335,3335,2899,14689075,CA-ON
Ontario,ON,York,3570,TORONTO BUTTONVILLE A,TORONTO NORTH YORK,TORONTO CITY,Regional Municipality of York,6158409,615S001,6158355,2098,1187997,4999.562012,4999.562012,3287.342512,0.208984713,0.229311035,0.208984713,39375,0.033144034,3.1,5602,5602,2756,14689075,CA-ON
PEI,PE,Prince Edward Island,1100,CHARLOTTETOWN A,,,Queens County,8300301,,,5797,131290,1121.158325,1121.158325,552.6550006,0.341152801,0.369752897,0.341152801,6450,0.049127885,2.3,1297,1297,1169,158629,CA-PE
Quebec,QC,Abitibi-Temiscamingue,2408,ROUYN-NORANDA A,ROUYN,ROUYN A,Rouyn-Noranda,7086719,7086716,7086720,64638,150702,1610.272949,1610.272949,846.6349112,0.472062457,0.532191485,0.472062457,6025,0.039979645,2.2,1401,1401,1030,8556650,CA-QC
Quebec,QC,Bas-Saint-Laurent,2401,POINTE-AU-PERE (INRS),,,Rimouski-Neigette,7056068,,,22718,198886,1445.484375,1445.484375,760.1955728,0.398846717,0.445824682,0.398846717,11860,0.059632015,2.1,2119,2119,1720,8556650,CA-QC
Quebec,QC,Capitale-Nationale,2403,STE-FOY (U. LAVAL),QUEBEC/JEAN LESAGE INTL,QUEBEC/JEAN LESAGE INTL A,Quebec,701Q004,701S001,7016294,19422,690771,4247.81543,4247.81543,2718.426252,0.378182014,0.439477824,0.378182014,37055,0.053642944,2.1,6222,6222,4958,8556650,CA-QC
Quebec,QC,Chaudiere-Appalaches,2412,SCOTT,STE-FOY (U. LAVAL),QUEBEC/JEAN LESAGE INTL,Levis,7027840,701Q004,701S001,15368,429844,1668.130859,1668.130859,897.2184663,0.329367917,0.359970088,0.329367917,20435,0.047540503,2.3,3393,3393,2725,8556650,CA-QC
Quebec,QC,Cote-Nord,2409,SEPT-ILES,,,Sept-RivieresCaniapiscau,7047914,,,268327,69112,2112.750244,2112.750244,1102.766912,0.590092607,0.671190141,0.590092607,3715,0.053753061,2.3,797,797,577,8556650,CA-QC
Quebec,QC,Estrie,2405,SHERBROOKE,LENNOXVILLE,SAWYERVILLE NORD,Sherbrooke,7028123,7024280,7027802,12847,484129,2015.044189,2015.044189,1174.059555,0.325270264,0.363394398,0.325270264,23260,0.048045089,2.2,3895,3895,2209,8556650,CA-QC
Quebec,QC,Gaspesie-Iles-de-la-Madeleine,2411,GASPE A,GASPE A,CAP-D'ESPOIR,La Cote-de-Gaspe Regional County Municipality,7052601,7052602,7051050,20653,88162,825.6032715,825.6032715,240.9796523,0.41428371,0.40804312,0.41428371,5385,0.061080868,2.2,1143,1143,889,8556650,CA-QC
Quebec,QC,Lanaudiere,2414,L'ASSOMPTION,,,L'Assomption Regional County Municipality,7014160,,,13405,448304,2447.084717,2447.084717,1490.688423,0.349693545,0.401252134,0.349693545,17365,0.038734855,2.4,4140,4140,2370,8556650,CA-QC
Quebec,QC,Laurentides,2415,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,MONTREAL INTL A,MCTAVISH,Les Laurentides Regional County Municipality,702S006,7025251,7024745,22463,565427,2487.749023,2487.749023,1503.615184,0.359080492,0.407947467,0.359080492,21110,0.037334633,2.3,4668,4668,2860,8556650,CA-QC
Quebec,QC,Laval,2413,MCTAVISH,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,MONTREAL INTL A,Laval,7024745,702S006,7025251,248,426467,5098.612305,5098.612305,3380.870999,0.131124658,0.122779303,0.131124658,21395,0.050168052,2.6,3192,3192,2149,8556650,CA-QC
Quebec,QC,Mauricie,2404,TROIS RIVIERES,TROIS RIVIERES A-2,LEMIEUX,Shawinigan,7018562,7018560,701Q009,47225,522316,1979.906738,1979.906738,1147.740125,0.383254608,0.431327991,0.383254608,28690,0.054928411,2.1,5186,5186,4003,8556650,CA-QC
Quebec,QC,Monteregie,2416,MONTREAL/ST-HUBERT,MCTAVISH,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,La Vallee-du-Richelieu Regional County Municipality,7027329,7024745,702S006,8819,1346772,3256.855957,3256.855957,2094.348235,0.258063386,0.287958069,0.258063386,54570,0.0405191,2.4,10268,10268,8293,8556650,CA-QC
Quebec,QC,Montreal,2406,MCTAVISH,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,MONTREAL/ST-HUBERT,Montreal,7024745,702S006,7027329,469,1748233,10537.0127,10537.0127,7238.031281,0.11654606,0.10783763,0.11654606,98800,0.056514218,2.2,15136,15136,8293,8556650,CA-QC
Quebec,QC,Nord-du-Quebec,2410,CHIBOUGAMAU-CHAPAIS,CHAPAIS,CHIBOUGAMAU CHAPAIS A,Nord-du-Quebec,7091410,7091299,7091409,340318,15294,1837.458496,1837.458496,894.0980856,0.684614874,0.774558675,0.684614874,375,0.024518721,2.3,115,115,64,8556650,CA-QC
Quebec,QC,Nunavik,2417,KUUJJUAQ A,TASIUJAQ A,KUUJJUARAPIK,Nord-du-Quebec,7113535,7118366,7103539,502954,9991,2369.552002,2369.552002,511.130485,0.735134965,0.769982166,0.735134965,55,0.005504928,3.6,81,81,57,8556650,CA-QC
Quebec,QC,Outaouais,2407,CHELSEA,OTTAWA CDA RCS,ANGERS,Gatineau,7031360,6105978,7030170,34065,402968,3059.083008,3059.083008,1753.314883,0.420580013,0.478974469,0.420580013,12355,0.030660027,2.3,2986,2986,1942,8556650,CA-QC
Quebec,QC,Saguenay,2402,JONQUIERE,,,Le Fjord-du-Saguenay Regional County Municipality,7063370,,,105933,279688,1759.002441,1759.002441,1028.049081,0.453292126,0.51509728,0.453292126,13915,0.049751928,2.2,2475,2475,1995,8556650,CA-QC
Quebec,QC,Terres-Cries-de-la-Baie-James,2418,EASTMAIN RIVER A,CHIBOUGAMAU-CHAPAIS,CHAPAIS,Nord-du-Quebec,7092310,7091410,7091299,5784,17650,1620.939453,1620.939453,592.6983248,0.548745522,0.61289826,0.548745522,165,0.009348535,4.3,94,94,50,8556650,CA-QC
Saskatchewan,SK,Central,473,YORKTON,,,Division No. 9 - Yorkton,4019073,,,89133,136520,927.2342529,927.2342529,434.2977173,0.452057165,0.495538825,0.452057165,6465,0.063757888,2.3,1056,1056,1293,1179154,CA-SK
Saskatchewan,SK,Far North,471,LA RONGE A,,,Division No. 18 - La Ronge,4064155,,,308303,51039,1585.822998,1585.822998,449.0677508,0.594841482,0.624467372,0.594841482,400,0.010747088,3.8,265,265,149,1179154,CA-SK
Saskatchewan,SK,North,472,PRINCE ALBERT A,,,Division No. 15 - Prince Albert,4056241,,,107132,205157,1579.022705,1579.022705,664.1594859,0.467790284,0.505034959,0.467790284,8430,0.042249018,2.6,1805,1805,1637,1179154,CA-SK
Saskatchewan,SK,Regina,475,REGINA RCS,REGINA INTL A,BUFFALO POUND LAKE,Division No. 6 - Regina,4016699,4016566,4010984,8293,236060,3393.80127,3393.80127,2285.590908,0.405320053,0.485987852,0.405320053,11430,0.041389869,2.4,2417,2417,1927,1179154,CA-SK
Saskatchewan,SK,Saskatoon,474,SASKATOON RCS,SASKATOON INTL A,SONNINGDALE,Division No. 11 - Saskatoon,4057165,4057152,4047644,11118,296737,3676.972168,3676.972168,2287.593852,0.407446426,0.477785495,0.407446426,14195,0.041419308,2.5,2432,2432,2102,1179154,CA-SK
Saskatchewan,SK,South,476,MOOSE JAW CS,REGINA RCS,BUFFALO POUND LAKE,Division No. 7 - Moose Jaw,4015322,4016699,4010984,116632,188974,1314.458984,1314.458984,695.5991922,0.463912093,0.519551803,0.463912093,9150,0.057731848,2.3,1671,1671,1654,1179154,CA-SK
Yukon,YT,Yukon,6001,WHITEHORSE AUTO,WHITEHORSE A,HAINES JUNCTION,Yukon,2101310,2101303,2100630,483831,37893,1870.117554,1870.117554,603.6038383,0.635523208,0.683741759,0.635523208,675,0.017813204,2.3,242,242,126,41731,CA-YT
